,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,DATE
93,101138.0,Brandon Bass,1610612747.0,LAL,1.0,0.0,1.0,17.18,17.18,6442.0,1.22,0.7,0.52,4.13,4.7,3.56,10/28/2015
94,202688.0,Brandon Knight,1610612756.0,PHX,1.0,0.0,1.0,34.42,34.42,13358.0,2.53,1.35,1.18,4.35,4.98,4.07,10/28/2015
95,203148.0,Brian Roberts,1610612757.0,POR,1.0,0.0,1.0,13.32,13.32,5174.0,0.98,0.61,0.37,4.59,5.02,4.11,10/28/2015
96,201572.0,Brook Lopez,1610612751.0,BKN,1.0,0.0,1.0,33.33,33.33,11986.0,2.27,1.11,1.16,4.15,4.26,4.03,10/28/2015
97,203468.0,CJ McCollum,1610612757.0,POR,1.0,1.0,0.0,37.38,37.38,14098.0,2.67,1.55,1.12,4.35,5.06,3.54,10/28/2015
98,101139.0,CJ Miles,1610612754.0,IND,1.0,0.0,1.0,35.67,35.67,11774.0,2.23,1.17,1.06,3.75,4.31,3.53,10/28/2015
99,201228.0,CJ Watson,1610612753.0,ORL,1.0,0.0,1.0,21.02,21.02,8976.0,1.7,0.97,0.73,4.8,5.67,4.03,10/28/2015
100,2546.0,Carmelo Anthony,1610612752.0,NYK,1.0,1.0,0.0,29.27,29.27,9610.0,1.82,0.98,0.84,3.86,4.08,3.52,10/28/2015
101,2406.0,Caron Butler,1610612758.0,SAC,1.0,0.0,1.0,12.67,12.67,4594.0,0.87,0.53,0.34,4.24,4.15,3.35,10/28/2015
102,101111.0,Charlie Villanueva,1610612742.0,DAL,1.0,1.0,0.0,14.65,14.65,5597.0,1.06,0.55,0.51,4.46,5.02,4.02,10/28/2015
103,201978.0,Chase Budinger,1610612756.0,PHX,1.0,0.0,1.0,14.85,14.85,5386.0,1.02,0.54,0.48,4.02,3.98,4.17,10/28/2015
104,2547.0,Chris Bosh,1610612748.0,MIA,1.0,1.0,0.0,32.32,32.32,11194.0,2.12,1.11,1.01,3.86,4.16,3.66,10/28/2015
105,203142.0,Chris Copeland,1610612749.0,MIL,1.0,0.0,1.0,19.48,19.48,6917.0,1.31,0.69,0.62,3.97,4.36,3.68,10/28/2015
106,101108.0,Chris Paul,1610612746.0,LAC,1.0,1.0,0.0,36.57,36.57,12989.0,2.46,1.38,1.08,4.06,4.67,3.57,10/28/2015
107,1626174.0,Christian Wood,1610612755.0,PHI,1.0,0.0,1.0,5.6,5.6,2112.0,0.4,0.24,0.16,4.2,3.92,4.62,10/28/2015
108,203921.0,Cleanthony Early,1610612752.0,NYK,1.0,1.0,0.0,6.6,6.6,2006.0,0.38,0.21,0.17,4.32,4.28,4.35,10/28/2015
109,203991.0,Clint Capela,1610612745.0,HOU,1.0,0.0,1.0,24.92,24.92,9134.0,1.73,0.86,0.87,4.03,4.5,4.14,10/28/2015
110,203469.0,Cody Zeller,1610612766.0,CHA,1.0,0.0,1.0,29.98,29.98,11880.0,2.25,1.33,0.92,4.6,4.89,3.81,10/28/2015
111,202332.0,Cole Aldrich,1610612746.0,LAC,1.0,1.0,0.0,0.05,0.05,53.0,0.01,0.0,0.01,0.0,0.0,0.0,10/28/2015
112,201147.0,Corey Brewer,1610612745.0,HOU,1.0,0.0,1.0,29.42,29.42,10243.0,1.94,1.06,0.88,3.82,4.57,3.58,10/28/2015
113,202709.0,Cory Joseph,1610612761.0,TOR,1.0,1.0,0.0,27.72,27.72,10930.0,2.07,1.1,0.97,4.57,4.6,4.54,10/28/2015
114,201584.0,Courtney Lee,1610612766.0,CHA,1.0,0.0,1.0,31.27,31.27,11035.0,2.09,1.12,0.97,4.02,4.42,3.71,10/28/2015
115,1626156.0,D'Angelo Russell,1610612747.0,LAL,1.0,0.0,1.0,25.83,25.83,9715.0,1.84,1.04,0.8,4.21,4.42,3.9,10/28/2015
116,201571.0,D.J. Augustin,1610612743.0,DEN,1.0,1.0,0.0,12.92,12.92,4963.0,0.94,0.51,0.43,4.21,4.41,3.91,10/28/2015
117,203081.0,Damian Lillard,1610612757.0,POR,1.0,1.0,0.0,35.9,35.9,13781.0,2.61,1.48,1.13,4.38,4.97,3.7,10/28/2015
118,203996.0,Damien Inglis,1610612749.0,MIL,1.0,0.0,1.0,14.73,14.73,5386.0,1.02,0.48,0.54,4.02,4.58,3.61,10/28/2015
119,204014.0,Damjan Rudez,1610612750.0,MIN,1.0,1.0,0.0,4.53,4.53,1795.0,0.34,0.19,0.15,3.97,5.47,5.07,10/28/2015
120,201568.0,Danilo Gallinari,1610612743.0,DEN,1.0,1.0,0.0,35.6,35.6,12144.0,2.3,1.25,1.05,3.9,4.37,3.67,10/28/2015
121,201980.0,Danny Green,1610612759.0,SAS,1.0,0.0,1.0,29.18,29.18,11616.0,2.2,1.27,0.93,4.5,5.12,3.87,10/28/2015
122,201967.0,Dante Cunningham,1610612740.0,NOP,1.0,0.0,1.0,31.35,31.35,12250.0,2.32,1.26,1.06,4.36,5.36,3.94,10/28/2015
123,201589.0,Darrell Arthur,1610612743.0,DEN,1.0,1.0,0.0,15.68,15.68,6019.0,1.14,0.65,0.49,4.15,4.95,4.08,10/28/2015
124,201954.0,Darren Collison,1610612758.0,SAC,1.0,0.0,1.0,30.37,30.37,11299.0,2.14,1.21,0.93,4.12,4.66,3.68,10/28/2015
125,101135.0,David Lee,1610612742.0,DAL,1.0,1.0,0.0,21.95,21.95,7550.0,1.43,0.73,0.7,3.82,4.7,3.2,10/28/2015
126,2561.0,David West,1610612759.0,SAS,1.0,0.0,1.0,18.0,18.0,6125.0,1.16,0.62,0.54,4.03,3.97,3.33,10/28/2015
127,201599.0,DeAndre Jordan,1610612746.0,LAC,1.0,1.0,0.0,27.1,27.1,9451.0,1.79,0.91,0.88,4.02,3.96,3.99,10/28/2015
128,201942.0,DeMar DeRozan,1610612761.0,TOR,1.0,1.0,0.0,35.87,35.87,13411.0,2.54,1.47,1.07,4.23,4.59,4.01,10/28/2015
129,202326.0,DeMarcus Cousins,1610612758.0,SAC,1.0,0.0,1.0,34.62,34.62,11299.0,2.14,1.18,0.96,3.63,4.17,3.44,10/28/2015
130,201960.0,DeMarre Carroll,1610612761.0,TOR,1.0,1.0,0.0,41.18,41.18,14520.0,2.75,1.47,1.28,4.07,4.18,3.96,10/28/2015
131,101114.0,Deron Williams,1610612742.0,DAL,1.0,1.0,0.0,20.05,20.05,7867.0,1.49,0.82,0.67,4.53,4.88,4.18,10/28/2015
132,202324.0,Derrick Favors,1610612762.0,UTA,1.0,0.0,1.0,34.7,34.7,12514.0,2.37,1.33,1.04,4.15,4.5,3.46,10/28/2015
133,201565.0,Derrick Rose,1610612741.0,CHI,1.0,1.0,0.0,29.43,29.43,11246.0,2.13,1.21,0.92,4.24,4.36,4.11,10/28/2015
134,202682.0,Derrick Williams,1610612752.0,NYK,1.0,1.0,0.0,21.32,21.32,7814.0,1.48,0.84,0.64,4.26,4.1,3.75,10/28/2015
135,1626164.0,Devin Booker,1610612756.0,PHX,1.0,0.0,1.0,21.33,21.33,8342.0,1.58,0.82,0.76,4.46,5.27,3.89,10/28/2015
136,2734.0,Devin Harris,1610612742.0,DAL,1.0,1.0,0.0,23.18,23.18,8606.0,1.63,0.89,0.74,4.12,4.65,3.59,10/28/2015
137,203473.0,Dewayne Dedmon,1610612753.0,ORL,1.0,0.0,1.0,14.73,14.73,5386.0,1.02,0.53,0.49,4.12,4.15,3.98,10/28/2015
138,203079.0,Dion Waiters,1610612760.0,OKC,1.0,1.0,0.0,21.4,21.4,7709.0,1.46,0.76,0.7,4.21,4.42,3.9,10/28/2015
139,1717.0,Dirk Nowitzki,1610612742.0,DAL,1.0,1.0,0.0,20.72,20.72,7075.0,1.34,0.76,0.58,3.78,4.63,3.52,10/28/2015
140,202388.0,Donald Sloan,1610612751.0,BKN,1.0,0.0,1.0,15.47,15.47,6494.0,1.23,0.69,0.54,4.68,5.48,3.89,10/28/2015
141,203926.0,Doug McDermott,1610612741.0,CHI,1.0,1.0,0.0,20.2,20.2,8131.0,1.54,0.87,0.67,4.48,5.17,4.28,10/28/2015
142,2400.0,Drew Gooden,1610612764.0,WAS,1.0,1.0,0.0,19.83,19.83,8078.0,1.53,0.79,0.74,4.51,4.86,4.26,10/28/2015
143,203939.0,Dwight Powell,1610612742.0,DAL,1.0,1.0,0.0,17.32,17.32,7128.0,1.35,0.73,0.62,4.87,4.8,4.26,10/28/2015
144,2548.0,Dwyane Wade,1610612748.0,MIA,1.0,1.0,0.0,29.0,29.0,10507.0,1.99,1.08,0.91,4.12,4.38,3.86,10/28/2015
145,202734.0,E'Twaun Moore,1610612741.0,CHI,1.0,1.0,0.0,16.95,16.95,6442.0,1.22,0.72,0.5,4.23,4.76,3.7,10/28/2015
146,202334.0,Ed Davis,1610612757.0,POR,1.0,1.0,0.0,29.12,29.12,11141.0,2.11,1.14,0.97,4.28,4.44,4.23,10/28/2015
147,203901.0,Elfrid Payton,1610612753.0,ORL,1.0,0.0,1.0,34.77,34.77,14731.0,2.79,1.54,1.25,4.82,4.87,4.78,10/28/2015
148,202407.0,Elijah Millsap,1610612762.0,UTA,1.0,0.0,1.0,9.93,9.93,3854.0,0.73,0.33,0.4,4.22,3.82,4.7,10/28/2015
149,1626144.0,Emmanuel Mudiay,1610612743.0,DEN,1.0,1.0,0.0,37.9,37.9,13834.0,2.62,1.53,1.09,4.07,4.41,3.73,10/28/2015
150,202683.0,Enes Kanter,1610612760.0,OKC,1.0,1.0,0.0,24.08,24.08,9134.0,1.73,0.95,0.78,4.23,4.95,4.0,10/28/2015
151,202339.0,Eric Bledsoe,1610612756.0,PHX,1.0,0.0,1.0,31.38,31.38,12250.0,2.32,1.24,1.08,4.36,4.65,4.18,10/28/2015
152,201569.0,Eric Gordon,1610612740.0,NOP,1.0,0.0,1.0,40.78,40.78,15365.0,2.91,1.59,1.32,4.29,4.73,3.84,10/28/2015
153,203475.0,Erick Green,1610612762.0,UTA,1.0,1.0,0.0,1.48,1.48,475.0,0.09,0.06,0.03,4.0,6.16,0.0,10/28/2015
154,101141.0,Ersan Ilyasova,1610612753.0,ORL,1.0,1.0,0.0,21.77,21.77,7498.0,1.42,0.76,0.66,3.84,4.42,3.82,10/28/2015
155,203095.0,Evan Fournier,1610612753.0,ORL,1.0,0.0,1.0,26.98,26.98,10982.0,2.08,1.12,0.96,4.64,5.11,4.27,10/28/2015
156,202323.0,Evan Turner,1610612738.0,BOS,1.0,1.0,0.0,22.02,22.02,7973.0,1.51,0.77,0.74,4.07,4.88,3.41,10/28/2015
157,1626163.0,Frank Kaminsky,1610612766.0,CHA,1.0,0.0,1.0,6.12,6.12,2693.0,0.51,0.3,0.21,4.9,5.4,4.38,10/28/2015
158,203914.0,Gary Harris,1610612743.0,DEN,1.0,1.0,0.0,29.48,29.48,11035.0,2.09,1.07,1.02,4.22,4.32,4.12,10/28/2015
159,202390.0,Gary Neal,1610612764.0,WAS,1.0,1.0,0.0,18.2,18.2,6864.0,1.3,0.61,0.69,4.3,4.03,4.46,10/28/2015
160,201588.0,George Hill,1610612754.0,IND,1.0,0.0,1.0,37.68,37.68,13517.0,2.56,1.32,1.24,4.16,4.53,3.58,10/28/2015
